FEATURE_ID	FEATURE_NAME	FEATURE_CLASS	STATE_ALPHA	STATE_NUMERIC	COUNTY_NAME	COUNTY_NUMERIC	PRIMARY_LAT_DMS	PRIM_LONG_DMS	PRIM_LAT_DEC	PRIM_LONG_DEC	SOURCE_LAT_DMS	SOURCE_LONG_DMS	SOURCE_LAT_DEC	SOURCE_LONG_DEC	ELEV_IN_M	ELEV_IN_FT	MAP_NAME	DATE_CREATED	DATE_EDITED
433379	De Camp Gardens	Populated Place	IN	18	Elkhart	39	413943N	0855509W	41.6619937	-85.9191646			NA	NA	229	751	Elkhart	2/14/1979	
536001	James Chapel Cemetery	Cemetery	LA	22	Richland	83	323101N	0914909W	32.5168082	-91.8192934			NA	NA	23	75	Irwin Lake	6/4/1980	
837797	KTLX-FM (Columbus)	Tower	NE	31	Platte	141	412626N	0972115W	41.4405673	-97.3542081			NA	NA	440	1444	Columbus	8/1/1994	
1091215	Charlie Creek	Stream	OK	40	Choctaw	23	341027N	0953733W	34.174268	-95.6258021	340814N	0954018W	34.1372222	-95.6716667	150	492	Antlers West	12/18/1979	
349396	New Union Cemetery	Cemetery	GA	13	Worth	321	314534N	0835314W	31.7593421	-83.8871215			NA	NA	85	279	Warwick	8/1/1994	
1038057	Birmingham	Populated Place	OH	39	Erie	43	411948N	0822139W	41.3300486	-82.3607193			NA	NA	239	784	Kipton	7/12/1979	
960673	Plank Pond	Lake	NY	36	Otsego	77	424220N	0744146W	42.705598	-74.6961878			NA	NA	478	1568	South Valley	1/23/1980	6/24/2011
717786	Fairview Church	Church	MO	29	Bates	13	382254N	0942538W	38.3816852	-94.4271734			NA	NA	306	1004	Main City	10/24/1980	
211153	Steel Brook	Stream	CT	9	New Haven	9	412309N	0730407W	41.38593	-73.068719	412319N	0730322W	41.3886111	-73.0561111	57	187	Naugatuck	9/12/1979	
1117801	Blalock Canyon	Valley	OR	41	Gilliam	21	454141N	1202226W	45.6948501	-120.3739368	453732N	1202050W	45.6255556	-120.3472222	104	341	Sundale	11/28/1980	
591187	Rosemont	Populated Place	MD	24	Frederick	21	391945N	0773721W	39.3292681	-77.62249			NA	NA	153	502	Point of Rocks	9/12/1979	3/17/2008
198041	Long Draw Windmill	Locale	CO	8	Weld	123	404110N	1035408W	40.686098	-103.9021711			NA	NA	1454	4770	Raymer NW	10/1/1992	
253131	Double Hole Crater	Crater	CA	6	Siskiyou	93	412953N	1213713W	41.4979362	-121.6202733			NA	NA	1688	5538	Porcupine Butte	1/1/1992	
406437	Concord	Populated Place	IL	17	Morgan	137	394900N	0902222W	39.8167136	-90.3729016			NA	NA	180	591	Concord	1/15/1980	3/20/2008
792768	Wall City	Populated Place	MT	30	Powell	77	463238N	1125619W	46.543818	-112.9386608			NA	NA	1363	4472	Griffin Creek	4/4/1980	
840521	Fluorspar Mine	Mine	NV	32	Pershing	27	403224N	1181252W	40.539906	-118.2143114			NA	NA	1975	6480	Star Peak	12/12/1980	
771965	Green Mountain	Summit	MT	30	Powell	77	465827N	1131130W	46.9741035	-113.1917309			NA	NA	1710	5610	Chamberlain Mountain	4/4/1980	
446095	Willman Cemetery	Cemetery	IN	18	Blackford	9	402723N	0852054W	40.4564321	-85.3483053			NA	NA	277	909	Hartford City East	2/14/1979	
650433	Ruthton State Wildlife Management Area	Park	MN	27	Murray	101	441021N	0960308W	44.1724659	-96.0522489			NA	NA	515	1690	Ruthton	1/11/1980	
638539	Spring Brook	Stream	MI	26	Shiawassee	155	425648N	0841211W	42.9466949	-84.2030249	425346N	0841417W	42.8961111	-84.2380556	225	738	Owosso South	4/14/1980	
877697	Lawlin Pond	Lake	NJ	34	Bergen	3	410055N	0741126W	41.015381	-74.1904437			NA	NA	118	387	Ramsey	9/8/1979	6/23/2011
182246	Huston Lake	Lake	CO	8	Denver	31	394206N	1050057W	39.7017108	-105.0159644			NA	NA	1629	5344	Fort Logan	10/13/1978	6/17/2011
829090	Elm Grove School	School	NE	31	Madison	119	420104N	0974800W	42.0177843	-97.8000603			NA	NA	529	1736	Tilden	3/9/1979	
919319	OS-6 Water Well	Well	NM	35	Doña Ana	13	322058N	1062718W	32.3495376	-106.4549922			NA	NA	1246	4088	Davies Tank	8/1/1993	
343795	Pine Grove School (historical)	School	GA	13	Thomas	275	310123N	0835353W	31.0229655	-83.8979495			NA	NA	83	272	Chastain	3/1/1994	
221303	Coffee Ditch	Canal	CA	6	Trinity	105	405751N	1224500W	40.9640338	-122.7500231			NA	NA	1007	3304	Trinity Center	1/19/1981	
420250	Venice	Populated Place	IL	17	Madison	119	384020N	0901011W	38.6722727	-90.169832			NA	NA	125	410	Granite City	1/15/1980	3/20/2008
338997	Lake Ola	Reservoir	GA	13	Henry	151	332648N	0840424W	33.4467815	-84.0732475			NA	NA	206	676	Ola	9/1/1992	
452854	Interchange 8	Crossing	IN	18	St. Joseph	141	414322N	0861530W	41.7228257	-86.2583405			NA	NA	221	725	South Bend West	2/14/1979	
479750	Rabbit Creek	Stream	KS	20	Miami	121	383509N	0944052W	38.585846	-94.681068	383527N	0943757W	38.5908333	-94.6325	294	965	Louisburg	10/13/1978	
833184	Sand Creek	Stream	NE	31	Dixon	51	422955N	0965135W	42.4986094	-96.8597626	422940N	0965401W	42.4944431	-96.9003196	397	1302	Allen	3/9/1979	
614382	Camp Avoda	Populated Place	MA	25	Plymouth	23	415158N	0705149W	41.8662135	-70.8636505			NA	NA	29	95	Snipatuit Pond	2/24/1974	
587511	Spring Island	Island	MD	24	Dorchester	19	380741N	0760349W	38.1281792	-76.063548			NA	NA	0	0	Bloodsworth Island	9/12/1979	
276698	Haynes Delight Trail	Trail	CA	6	Trinity	105	400337N	1230420W	40.0601517	-123.0722363			NA	NA	1464	4803	Wrights Ridge	10/1/1992	
1119638	Currin Creek	Stream	OR	41	Clackamas	5	452039N	1222146W	45.3442877	-122.3628647	451804N	1221722W	45.3011111	-122.2894444	76	249	Estacada	11/28/1980	
744414	Bird Sanctuary	Locale	MO	29	Gasconade	73	381356N	0912711W	38.2322688	-91.4529335			NA	NA	253	830	Oak Hill	4/1/1990	
69069	Township of Lafayette	Civil	AR	5	Scott	127	345245N	0942408W	34.8792157	-94.4021463			NA	NA	181	594	Bates	1/1/2000	1/27/2013
672424	Lewis Chapel	Church	MS	28	Wayne	153	313616N	0882919W	31.604329	-88.4886357			NA	NA	74	243	Copeland	9/24/1980	
584345	Fanneys Gut	Gut	MD	24	Somerset	39	381117N	0755241W	38.1881783	-75.8779874			NA	NA	0	0	Deal Island	9/12/1979	
764419	Holiday Lake Dam	Dam	MO	29	Crawford	55	374554N	0910754W	37.765046	-91.1318018			NA	NA	326	1070	Davisville	3/1/1995	
142686	Mathews Church	Church	AL	1	Montgomery	101	321610N	0860018W	32.2693094	-86.0049576			NA	NA	79	259	Mount Meigs	12/1/2003	
760473	Mires Lake	Reservoir	MO	29	Nodaway	147	402146N	0944826W	40.3627386	-94.8073189			NA	NA	320	1050	Maryville East	3/1/1995	6/23/2011
501085	Pope Cemetery	Cemetery	KY	21	Harlan	95	364605N	0831415W	36.7681435	-83.2374			NA	NA	426	1398	Evarts	9/20/1979	
203654	Fairy Hills	Summit	CO	8	Conejos	21	371236N	1054451W	37.2100122	-105.7475175			NA	NA	2380	7808	Mesito Reservoir	10/13/1978	
201708	Maguire Dam	Dam	CO	8	Elbert	39	391642N	1041950W	39.2783204	-104.3305195			NA	NA	1811	5942	Big Gulch	9/1/1994	
226990	Lee Camp	Locale	CA	6	Tehama	103	400528N	1215300W	40.0909921	-121.883318			NA	NA	492	1614	Acorn Hollow	1/19/1981	
291666	Steep Head Branch	Stream	FL	12	Walton	131	303353N	0861524W	30.564639	-86.2566107	303509N	0861519W	30.5858333	-86.2552778	14	46	Niceville SE	10/19/1979	
163393	Water Works Creek	Stream	AL	1	Chambers	17	325624N	0851725W	32.9401255	-85.2902228	330028N	0852008W	33.0079012	-85.3355024	184	604	Fredonia	9/1/1993	
65774	Delta Vocational Technical School	School	AR	5	Poinsett	111	353135N	0902628W	35.5264707	-90.441214			NA	NA	65	213	Marked Tree	10/1/1992	
309151	WBVM-FM (Tampa)	Tower	FL	12	Hillsborough	57	274910N	0821425W	27.8194718	-82.2403681			NA	NA	26	85	Lithia	8/1/1994	
886980	Butcher Well	Locale	NM	35	Eddy	15	320008N	1042721W	32.0023409	-104.4557785			NA	NA	1162	3812	Rattlesnake Springs	11/13/1980	
659911	Northern Ordnance Plant	Locale	MN	27	Anoka	3	450327N	0931634W	45.0574653	-93.2760598			NA	NA	255	837	Minneapolis North	1/1/2000	
1117319	Battle Creek Slough	Stream	OR	41	Clatsop	7	460635N	1234739W	46.1098306	-123.7943053	460523N	1234735W	46.0897222	-123.7930556	1	3	Olney	11/28/1980	
1056329	Highpoint	Populated Place	OH	39	Hamilton	61	391718N	0842101W	39.2883916	-84.3502175			NA	NA	266	873	Mason	7/12/1979	1/29/2011
1006558	Hope Mills Junior High School	School	NC	37	Cumberland	51	345758N	0785621W	34.9659975	-78.9391941			NA	NA	34	112	Hope Mills	7/1/1989	
359858	Kaiaka Bay	Bay	HI	15	Honolulu	3	213504N	1580710W	21.5844586	-158.1193757			NA	NA	NA	NA	Haleiwa	2/6/1981	10/26/2012
655616	Camp Olson	Locale	MN	27	Cass	21	465715N	0941146W	46.9541227	-94.1960863			NA	NA	412	1352	Longville	1/11/1980	
653684	Lake Volney	Lake	MN	27	Le Sueur	79	442205N	0933828W	44.3680829	-93.6410941			NA	NA	313	1027	Cordova	1/11/1980	6/22/2011
544210	Gueydan United Methodist Church	Church	LA	22	Vermilion	113	300133N	0923032W	30.0257627	-92.5090248			NA	NA	2	7	Gueydan	10/1/1992	
461213	Saint Marys School	School	IA	19	Lee	111	403759N	0911903W	40.6330965	-91.3173728			NA	NA	169	554	Fort Madison	4/30/1979	
356266	Herberts Chapel	Church	GA	13	Johnson	167	324400N	0825433W	32.7332152	-82.9090317			NA	NA	95	312	Cow Hell Swamp	9/25/1979	
1128197	Trail Reservoir	Reservoir	OR	41	Malheur	45	423829N	1170726W	42.6413993	-117.1238699			NA	NA	1482	4862	Juniper Point	11/28/1980	6/24/2011
296151	The Market Place at Hobe Sound	Locale	FL	12	Martin	85	270237N	0800709W	27.0436653	-80.1192095			NA	NA	5	16	Hobe Sound	8/28/1987	
589271	Grays Hill	Summit	MD	24	Cecil	15	393807N	0754731W	39.6353895	-75.791881			NA	NA	61	200	Newark West	2/1/1993	
734255	Fielden School	School	MO	29	Douglas	67	365224N	0922255W	36.8733903	-92.3818289			NA	NA	245	804	Rockbridge	10/1/1990	
893581	Quates Canyon	Valley	NM	35	Socorro	53	333615N	1070258W	33.6042344	-107.0494753	333933N	1070626W	33.6592328	-107.1072547	1359	4459	Paraje Well	11/13/1980	
333099	Spell Landing	Locale	GA	13	Brantley	25	311820N	0815410W	31.3054996	-81.9028912			NA	NA	10	33	Hortense	9/25/1979	
1000475	Weldons Pond Dam	Dam	NC	37	Vance	181	361725N	0781917W	36.2901472	-78.3213843			NA	NA	98	322	Vicksboro	1/1/2000	
85076	KLRA-AM (England)	Tower	AR	5	Lonoke	85	343245N	0915905W	34.5459274	-91.9845845			NA	NA	68	223	England	8/1/1994	
219737	Boyce Ravine	Valley	CA	6	Sierra	91	393051N	1210208W	39.5140584	-121.0355108	393238N	1210147W	39.5438889	-121.0297222	662	2172	Strawberry Valley	1/19/1981	
838005	Township of Francis	Civil	NE	31	Holt	89	421939N	0990337W	42.3273895	-99.0602929			NA	NA	686	2251	Cottonwood Lake	9/1/1995	1/27/2013
409500	Griesemer Cemetery	Cemetery	IL	17	Tazewell	179	402543N	0892505W	40.4286512	-89.4181516			NA	NA	195	640	Hopedale	1/15/1980	
689117	Pentecostal Church of God	Church	MS	28	Jackson	59	302352N	0883138W	30.3976993	-88.5272374			NA	NA	5	16	Pascagoula North	12/1/2003	
191137	Messenger Gulch	Valley	CO	8	Park	93	385604N	1052439W	38.9344363	-105.4108285	385717N	1052730W	38.9547222	-105.4583333	2499	8199	Elevenmile Canyon	10/13/1978	
512465	Griffith Cemetery	Cemetery	KY	21	Owsley	189	372449N	0833954W	37.4136998	-83.6649145			NA	NA	263	863	Booneville	9/20/1979	
623203	Chime Street School	School	MI	26	Kalamazoo	77	421523N	0854047W	42.2564284	-85.6797296			NA	NA	293	961	Kalamazoo SW	4/14/1980	
381271	Egbert Canyon	Valley	ID	16	Caribou	29	423047N	1114012W	42.512977	-111.6699472	423230N	1113808W	42.5416667	-111.6355556	1715	5627	Grace	6/21/1979	
1136472	Leneve	Populated Place	OR	41	Coos	11	431222N	1241625W	43.206221	-124.2737229			NA	NA	9	30	Riverton	11/28/1980	
848149	Rawhide Hills	Range	NV	32	Mineral	21	385840N	1182608W	38.9777003	-118.4356867			NA	NA	1672	5485	Pilot Cone	1/1/1991	
586227	North Fork Linganore Creek	Stream	MD	24	Frederick	21	392656N	0771318W	39.4489911	-77.2216489	392942N	0770834W	39.495	-77.1427778	114	374	Libertytown	9/12/1979	
744893	Garretts Mill (historical)	Locale	MO	29	Benton	15	Unknown	Unknown	0	0			NA	NA	NA	NA	Unknown	7/1/1990	
255831	Vail Lateral Seven	Canal	CA	6	Imperial	25	330757N	1153959W	33.1325423	-115.6663824			NA	NA	-69	-226	Obsidian Butte	1/19/1981	
532591	Bayou Fatma	Gut	LA	22	Jefferson	51	295207N	0900236W	29.8685396	-90.0434046			NA	NA	-3	-10	Bertrandville	6/4/1980	
351449	Turnerville Church of God	Church	GA	13	Habersham	137	344055N	0832540W	34.6820399	-83.4276666			NA	NA	470	1542	Tallulah Falls	1/1/1995	
652330	South Maple Lake	Lake	MN	27	Otter Tail	111	461035N	0951359W	46.176498	-95.2331679			NA	NA	435	1427	Eagle Bend NW	1/11/1980	6/22/2011
596803	Enon Baptist Church of Deliverance	Church	MD	24	Somerset	39	375847N	0755112W	37.9798465	-75.8532655			NA	NA	0	0	Crisfield	6/1/1995	
122475	McClendon Gap	Gap	AL	1	Blount	9	334845N	0862938W	33.8125993	-86.4938745			NA	NA	388	1273	Springville	9/4/1980	
282498	Fisheating Bay	Bay	FL	12	Glades	43	265809N	0810528W	26.969223	-81.0911786			NA	NA	4	13	Fisheating Bay	10/19/1979	
684261	Strangers Home Baptist Church	Church	MS	28	Leflore	83	333041N	0901039W	33.5115094	-90.1775837			NA	NA	39	128	Greenwood	12/1/2003	
485351	Union School (historical)	School	KS	20	Sherman	181	393037N	1015959W	39.510273	-101.9996263			NA	NA	1174	3852	South of Crosby Creek	4/1/1990	
880522	Shawcrest	Populated Place	NJ	34	Cape May	9	385915N	0745017W	38.9876129	-74.8379461			NA	NA	0	0	Wildwood	9/8/1979	
645494	Island Lake	Lake	MN	27	Itasca	61	475152N	0932154W	47.8644866	-93.3649068			NA	NA	416	1365	Deer Lake East	1/11/1980	6/22/2011
234065	Indian Creek	Stream	CA	6	Humboldt	23	403606N	1234743W	40.6018047	-123.7953236	403401N	1234644W	40.5669444	-123.7788889	472	1549	Yager Junction	1/19/1981	
35671	Upper Brady Tank	Reservoir	AZ	4	Coconino	5	344202N	1112819W	34.7004816	-111.4718741			NA	NA	2075	6808	Happy Jack	2/8/1980	6/16/2011
399507	Starkey Hot Springs	Spring	ID	16	Adams	3	445122N	1162642W	44.8559951	-116.4448699			NA	NA	983	3225	Fruitvale	2/1/1994	4/18/2011
1123424	Long Hollow	Valley	OR	41	Wheeler	69	444829N	1195229W	44.8081938	-119.8747284	444516N	1195225W	44.7545829	-119.8736147	565	1854	Masiker Mountain	11/28/1980	
278659	Crooked Creek	Stream	FL	12	Bay	5	301731N	0854826W	30.2918665	-85.8071548	302213N	0855214W	30.3702778	-85.8705556	0	0	West Bay	10/19/1979	
555272	McIntyre	Populated Place	LA	22	Webster	119	323514N	0932207W	32.5870947	-93.3685039			NA	NA	63	207	Minden South	6/4/1980	
864801	Washington Station Post Office	Post Office	NV	32	Washoe	31	393142N	1195015W	39.5282438	-119.8374149			NA	NA	1409	4623	Reno	4/1/1991	
718348	Garner Church	Church	MO	29	Linn	115	395804N	0925836W	39.9678019	-92.97659			NA	NA	278	912	Bucklin NW	10/24/1980	
587442	Somerset Elementary School	School	MD	24	Montgomery	31	385809N	0770530W	38.9690615	-77.0917365			NA	NA	95	312	Washington West	9/13/1996	9/15/2010
174723	Granby Reservoir Number 4	Reservoir	CO	8	Delta	29	390005N	1080136W	39.0013695	-108.0267364			NA	NA	3053	10016	Mesa Lakes	10/13/1978	
1093663	Henderson School	School	OK	40	Sequoyah	135	353731N	0944856W	35.6253693	-94.8155037			NA	NA	220	722	Bunch	12/18/1979	
724645	Pleasant View Church	Church	MO	29	Webster	225	372502N	0930155W	37.4172668	-93.031848			NA	NA	407	1335	Elkland	10/24/1980	
631706	Mason Drain	Canal	MI	26	Bay	17	433841N	0840546W	43.644747	-84.096096			NA	NA	186	610	Willard	4/14/1980	
480154	Hope Lutheran Church	Church	KS	20	Shawnee	177	390110N	0953919W	39.0193135	-95.6552748			NA	NA	304	997	Topeka	7/1/1984	11/4/2011
343581	Open Door Church	Church	GA	13	Polk	233	340038N	0851046W	34.010656	-85.1793942			NA	NA	297	974	Cedartown East	3/1/1994	
434463	Fertig Cemetery	Cemetery	IN	18	Owen	119	392754N	0865644W	39.4650438	-86.9455674			NA	NA	226	741	Poland	2/14/1979	
36576	Caralampi Tank	Reservoir	AZ	4	Santa Cruz	23	312507N	1110149W	31.4186418	-111.030187			NA	NA	1186	3891	Pena Blanca Lake	6/27/1984	6/16/2011
739488	Blendville (historical)	Populated Place	MO	29	Jasper	97	370402N	0943136W	37.0672833	-94.526614			NA	NA	321	1053	Joplin West	8/1/1990	
308285	Central Baptist Church	Church	FL	12	St. Lucie	111	271906N	0802014W	27.3183769	-80.3372725			NA	NA	3	10	Ankona	8/28/1987	
682363	Martin Lake Dam	Dam	MS	28	Calhoun	13	335036N	0891948W	33.8434475	-89.3300728			NA	NA	73	239	Calhoun City	12/1/2003	
416431	Raynor Park School	School	IL	17	Will	197	413250N	0880634W	41.547253	-88.1095044			NA	NA	198	650	Joliet	1/15/1980	
