"","FEATURE_ID","FEATURE_NAME","FEATURE_CLASS","STATE_ALPHA","COUNTY_NAME","lat","long","ELEV_IN_M","ELEV_IN_FT","classID","ID","percentM","percentF","Group"
"191652",229361,"Murray Canyon","Valley","CA","Alpine",38.4962983,-119.6832302,2109,6919,2,229361,48.7880809428508,48.7867696895757,1
"261365",299810,"Saint Cloud Presbyterian Church","Church","FL","Orange",28.2489016,-81.2720133,22,72,38,299810,2.37936402045808,2.37901586010573,1
"847149",921565,"82 Water Well","Well","NM","Bernalillo",34.9842156,-106.2950256,2261,7418,14,921565,52.1681120747165,52.1689033482445,2
"344110",390741,"Snow Creek","Stream","ID","Shoshone",47.8029805,-115.9212827,964,3163,1,390741,23.3266622192573,23.3292666395554,1
"848520",922965,"RG 23251 Water Well","Well","NM","Sierra",33.163405,-107.2491971,1319,4327,14,922965,31.2208138759173,31.2186525687949,2
"355229",403409,"Alhambra","Populated Place","IL","Madison",38.88838,-89.7314813,171,561,15,403409,5.69268401156326,5.69337128914193,1
"924979",1003806,"Pyatts Chapel","Church","NC","Edgecombe",35.8251565,-77.7408103,38,125,38,1003806,2.73515677118079,2.73824047715874,2
"874281",951983,"Hagaman","Populated Place","NY","Montgomery",42.9745189,-74.1509633,219,718,15,951983,6.76006226373138,6.75748949437441,2
"501741",562327,"Birch Point","Cape","ME","Knox",44.0384148,-69.1225422,5,16,5,562327,2.00133422281521,1.99945777416294,1
"190475",228181,"Martin Slough","Stream","CA","Humboldt",40.7523491,-124.182005,4,13,1,228181,1.97909717589504,1.97912430527315,1
"830062",904282,"Cabo Lucero Creek","Stream","NM","San Miguel",35.6169842,-105.4102902,2116,6942,1,904282,48.943740271292,48.9426596177308,2
"961523",1040922,"Glenwood Cemetery","Cemetery","OH","Henry",41.3839391,-84.1424466,207,679,26,1040922,6.49321770068935,6.4931543988071,2
"999607",1079185,"Ohio Power Company Pond 9516-010 Dam","Dam","OH","Morgan",39.7150718,-81.7648544,271,889,22,1079185,7.91638870358016,7.91649722109258,2
"982191",1061640,"Saint Johns School (historical)","School","OH","Lorain",41.4372648,-82.1198714,195,640,7,1061640,6.22637313764732,6.2288193032398,2
"481371",541248,"Victory Church","Church","LA","Richland",32.3109818,-91.8920739,22,72,38,541248,2.37936402045808,2.37901586010573,1
"552137",613328,"East Point","Cape","MA","Essex",42.4195416,-70.90227,5,16,5,613328,2.00133422281521,1.99945777416294,2
"66414",73766,"Sullivan Cemetery","Cemetery","AR","Newton",35.79258,-93.4582391,657,2155,26,73766,16.4998888147654,16.4972210925851,1
"102592",137811,"Central Church of Christ","Church","AL","Limestone",34.8084216,-86.9477843,209,686,38,137811,6.53769179452969,6.54059915954995,1
"150555",187155,"Alta (historical)","Populated Place","CO","San Miguel",37.8863832,-107.8528424,3371,11060,15,187155,76.8512341561041,76.8537345804528,1
"831994",906237,"Faulkner Spring","Spring","NM","Catron",33.4781233,-107.7736522,2204,7231,11,906237,50.9006004002668,50.9014504541141,2
"19042",24570,"Powell","Populated Place","AZ","Mohave",34.7372295,-114.3769024,233,764,15,24570,7.07138092061374,7.06926935068456,1
"136627",173183,"Whitaker Ranch","Locale","CO","Grand",40.103874,-106.3397521,2366,7762,4,173183,54.5030020013342,54.5004744476074,1
"230378",268399,"Tres Plumas Flat","Flat","CA","Mono",37.5521523,-118.1331582,3114,10216,16,268399,71.1363130976206,71.1332519994578,1
"819651",893720,"Red Bluff Ranch","Locale","NM","Chaves",33.7003658,-104.3980248,1153,3783,4,893720,27.5294640871692,27.5315168767792,2
"207599",245424,"Mammoth Rock School","School","CA","San Luis Obispo",35.5605273,-120.9554624,159,522,7,245424,5.42583944852124,5.42903619357462,1
"987571",1067055,"White Womans Rock","Pillar","OH","Coshocton",40.3114585,-81.909857,228,748,34,1067055,6.9601956860129,6.96082418327233,2
